tickerID,IQ_COMPANY_NAME_LONG,IQ_BUS_SEG_PRIMARY_PIC_ABS,IQ_BUS_SEG_SECONDARY_PIC_ABS,IQ_BUS_SEG_PRIMARY_SIC_ABS,IQ_BUS_SEG_SECONDARY_SIC_ABS,IQ_INDUSTRY_SECTOR,IQ_INDUSTRY_GROUP,IQ_INDUSTRY,IQ_PRIMARY_INDUSTRY,IQ_PRIMARY_INDUSTRY_SUBSECTOR5_ID,IQ_PRIMARY_INDUSTRY_SUBSECTOR5_NAME,IQ_PRIMARY_INDUSTRY_SUBSECTOR6_ID,IQ_PRIMARY_SIC_CODE,IQ_PRIMARY_SIC_INDUSTRY,IQ_COMPANY_TYPE,IQ_PICS_CODE,IQ_BUS_SEG_NAIC_ABS
NasdaqGS:NVDA,NVIDIA Corporation (NasdaqGS:NVDA),Semiconductors ,0,Semiconductors and related devices (3674),0,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,8212200,Digital,(Invalid Subsector ID),3674,Semiconductors and related devices,Public Company,45301020,Semiconductor and Related Device Manufacturing (334413)
NYSE:UPS,"United Parcel Service, Inc. (NYSE:UPS)",Marine ,Air Freight & Logistics ,Water transportation (4400),"Courier services, except by air (4215)",Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics,3211100,Air Courier Services,(Invalid Subsector ID),4210,"Trucking and courier services, except air",Public Company,20301010,Water Transportation (483)
NasdaqGS:PCLN,The Priceline Group Inc. (NasdaqGS:PCLN),Internet and Direct Marketing Retail ,Internet Software & Services ,Arrangement of passenger transportation (4720),Information retrieval services (7375),Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail,4212204,Online Hotel Booking Services,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,25502020,Travel Arrangement and Reservation Services (5615)
NYSE:NKE,"NIKE, Inc. (NYSE:NKE)",Footwear ,"Apparel, Accessories & Luxury Goods ","Men's footwear, except athletic (3143)",Apparel and other finished products made from fabrics and similar materials (2300),Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods",Footwear,4132410,Athletic Footwear,(Invalid Subsector ID),3021,Rubber and plastics footwear,Public Company,25203020,Footwear Manufacturing (316210)
TSX:TD,The Toronto-Dominion Bank (TSX:TD),0,0,0,0,Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,0
NYSE:GS,"The Goldman Sachs Group, Inc. (NYSE:GS)",Investment Banking & Brokerage ,Investment Banking & Brokerage ,Security brokers and dealers (6211),"Security and commodity brokers, dealers, exchanges, and services (6200)",Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage,7132100,Investment Banking,(Invalid Subsector ID),6211,Security brokers and dealers,Public Company,40203020,Investment Banking and Securities Dealing (523110)
NYSE:RAI,Reynolds American Inc. (NYSE:RAI),Tobacco ,Distributors ,Chewing and smoking tobacco (2131),Nondurable goods - wholesale (5100),Consumer Staples,"Food, Beverage and Tobacco",Tobacco,Tobacco,5131300,"Chewing, Pipe Tobacco And Snuff",(Invalid Subsector ID),2111,Cigarettes,Public Company,30203010,Tobacco Manufacturing (312230)
NasdaqGS:GILD,"Gilead Sciences, Inc. (NasdaqGS:GILD)",Biotechnology ,Pharmaceuticals ,Biological products except diagnostic (2836),Pharmaceutical preparations (2834),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2836,Biological products except diagnostic,Public Company,35201010,Biological Product (except Diagnostic) Manufacturing (325414)
NYSE:SLB,Schlumberger Limited (NYSE:SLB),Oil & Gas Equipment & Services ,0,Oil and gas field services (1380),0,Energy,Energy,Energy Equipment and Services,Oil and Gas Equipment and Services,1022200,Oil and Gas Field Services,(Invalid Subsector ID),1389,Oil and gas field services,Public Company,10101020,Support Activities for Oil and Gas Operations (213112)
NasdaqGS:CHTR,"Charter Communications, Inc. (NasdaqGS:CHTR)",Cable & Satellite ,Alternative Carriers ,Cable and other pay Television services (4841),"Telephone communications, except radio (4813)",Consumer Discretionary,Media,Media,Cable and Satellite,4312200,Cable And Other Pay Television,(Invalid Subsector ID),4841,Cable and other pay Television services,Public Company,25401025,Cable and Other Subscription Programming (515210)
NYSE:BMY,Bristol-Myers Squibb Company (NYSE:BMY),Personal Products ,0,Pharmaceutical preparations (2834),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121100,Pharmaceutical Products,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical Preparation Manufacturing (325412)
NYSE:UNP,Union Pacific Corporation (NYSE:UNP),Trucking ,0,"Trucking and courier services, except air (4210)",0,Industrials,Transportation,Road and Rail,Railroads,3241200,Railroad Transportation of Freight,(Invalid Subsector ID),4011,"Railroads, line-haul operating",Public Company,20304010,Truck Transportation (484)
NYSE:LLY,Eli Lilly and Company (NYSE:LLY),Pharmaceuticals ,0,Pharmaceutical preparations (2834),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121100,Pharmaceutical Products,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical Preparation Manufacturing (325412)
NYSE:USB,U.S. Bancorp (NYSE:USB),Diversified Banks ,Specialized Finance ,Commercial banks (6029),Business credit institutions (6150),Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,Commercial Banking (522110)
TSE:8306,"Mitsubishi UFJ Financial Group, Inc. (TSE:8306)",0,0,0,0,Financials,Banks,Banks,Diversified Banks,9621864,Diversified Commercial Banks,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,0
NasdaqGS:WBA,"Walgreens Boots Alliance, Inc. (NasdaqGS:WBA)",Drug Retail ,Specialty Stores ,Drug stores and proprietary stores (5912),Miscellaneous retail stores (5999),Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Drug Retail,5021100,Drug Stores and Pharmacies,(Invalid Subsector ID),5912,Drug stores and proprietary stores,Public Company,30101010,Pharmacies and Drug Stores (446110)
NYSE:ABT,Abbott Laboratories (NYSE:ABT),0,0,0,0,Healthcare,Healthcare Equipment and Services,Healthcare Equipment and Supplies,Healthcare Equipment,6021125,"Medical Testing, Analyzing, and Diagnostic Equipment",(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35101010,0
NasdaqGS:SBUX,Starbucks Corporation (NasdaqGS:SBUX),Restaurants ,Packaged Foods & Meats ,Eating and drinking places (5810),Roasted coffee (2095),Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,4214900,Beverage and Tobacco Bars,(Invalid Subsector ID),5812,Eating places,Public Company,25301040,Food Services and Drinking Places (722)
