tickerID,IQ_BUS_SEG_PRIMARY_PIC_ABS,IQ_BUS_SEG_SECONDARY_PIC_ABS,IQ_BUS_SEG_PRIMARY_SIC_ABS,IQ_BUS_SEG_SECONDARY_SIC_ABS,IQ_INDUSTRY_SECTOR,IQ_INDUSTRY_GROUP,IQ_INDUSTRY,IQ_PRIMARY_INDUSTRY,IQ_PRIMARY_INDUSTRY_SUBSECTOR5_ID,IQ_PRIMARY_INDUSTRY_SUBSECTOR5_NAME,IQ_PRIMARY_INDUSTRY_SUBSECTOR6_ID,IQ_PRIMARY_SIC_CODE,IQ_PRIMARY_SIC_INDUSTRY,IQ_COMPANY_TYPE,IQ_PICS_CODE,IQ_BUS_SEG_NAIC_ABS
NYSE:GE,Aerospace & Defense ,Airport Services ,Aircraft and parts (3720),"Airports, flying fields, and services (4581)",Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,0,0,(Invalid Subsector ID),9997,Conglomerates,Public Company,20105010,Aircraft Engine and Engine Parts Manufacturing (336412)
NYSE:WMT,Food Retail ,General Merchandise Stores ,Grocery stores (5411),Department stores (5311),Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Hypermarkets and Super Centers,5024200,Hypermarkets,(Invalid Subsector ID),5331,Variety stores,Public Company,30101040,Grocery Stores (4451)
NYSE:T,0,0,0,0,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,9022200,Local Telecommunications Services,(Invalid Subsector ID),4812,Radiotelephone communications,Public Company,50101020,0
NYSE:BAC,0,0,0,0,Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,0
NYSE:PG,0,0,0,0,Consumer Staples,Household and Personal Products,Household Products,Household Products,5211100,Cleaning Products,(Invalid Subsector ID),2840,"Soap, detergents, cleaning preperations, perfumes, cosmetics, and other toilet preperations",Public Company,30301010,0
NYSE:V,Data Processing & Outsourced Services ,Consumer Finance ,Business services (7389),Functions related to deposit banking (6099),Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,8021233,Internet Merchant Services,(Invalid Subsector ID),6099,Functions related to deposit banking,Public Company,45102020,"Financial Transactions Processing, Reserve, and Clearinghouse Activities (522320)"
NYSE:CVX,0,0,0,0,Energy,Energy,"Oil, Gas and Consumable Fuels",Integrated Oil and Gas,0,0,(Invalid Subsector ID),2911,Petroleum refining,Public Company,10102010,0
NYSE:PFE,Pharmaceuticals ,0,Drugs (2830),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121140,Non-Prescription Drugs,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical and Medicine Manufacturing (32541)
NYSE:KO,Soft Drinks ,Soft Drinks ,Bottled and canned soft drinks (2086),Bottled and canned soft drinks (2086),Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,5113100,Bottled Water,(Invalid Subsector ID),2086,Bottled and canned soft drinks,Public Company,30201030,Soft Drink Manufacturing (312111)
NasdaqGS:CMCS.A,Cable & Satellite ,0,Cable and other pay Television services (4841),0,Consumer Discretionary,Media,Media,Cable and Satellite,4312200,Cable And Other Pay Television,(Invalid Subsector ID),4841,Cable and other pay Television services,Public Company,25401025,Cable and Other Subscription Programming (515210)
NYSE:HD,Home Improvement Retail ,Home Improvement Retail ,"Building materials, hardware, garden supply, and mobile home dealers (5200)",Retail nurseries and garden stores (5261),Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,4443700,Lawn and Garden Supply Stores,(Invalid Subsector ID),5211,Lumber and other building materials,Public Company,25504030,Building Material and Supplies Dealers (4441)
NYSE:VZ,0,0,0,0,Telecommunication Services,Telecommunication Services,Diversified Telecommunication Services,Integrated Telecommunication Services,9022200,Local Telecommunications Services,(Invalid Subsector ID),4812,Radiotelephone communications,Public Company,50101020,0
NYSE:ORCL,0,0,0,0,Information Technology,Software and Services,Software,Systems Software,8042005,Development Tools,(Invalid Subsector ID),7372,Prepackaged software,Public Company,45103020,0
NYSE:PM,0,0,0,0,Consumer Staples,"Food, Beverage and Tobacco",Tobacco,Tobacco,5131100,Cigarettes,(Invalid Subsector ID),2111,Cigarettes,Public Company,30203010,0
NYSE:MRK,Pharmaceuticals ,Pharmaceuticals ,Pharmaceutical preparations (2834),Pharmaceutical preparations (2834),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121140,Non-Prescription Drugs,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical Preparation Manufacturing (325412)
NasdaqGS:INTC,Semiconductors ,Electronic Components ,Semiconductors and related devices (3674),Electronic components and accessories (3670),Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,8212200,Digital,(Invalid Subsector ID),3674,Semiconductors and related devices,Public Company,45301020,Semiconductor and Related Device Manufacturing (334413)
NYSE:DIS,"Hotels, Resorts & Cruise Lines ",Leisure Facilities ,Hotels and motels (7011),Amusement and recreation services (7900),Consumer Discretionary,Media,Media,Movies and Entertainment,4313200,Entertainment Production Companies,(Invalid Subsector ID),4888,Diversified Multi-Media,Public Company,25401030,Hotels (except Casino Hotels) and Motels (72111)
NYSE:UNH,Managed Health Care ,Life & Health Insurance ,Hospital and medical service plans (6324),Hospital and medical service plans (6324),Healthcare,Healthcare Equipment and Services,Healthcare Providers and Services,Managed Healthcare,6034100,Medical Practice Organizations,(Invalid Subsector ID),6324,Hospital and medical service plans,Public Company,35102030,Direct Health and Medical Insurance Carriers (524114)
NYSE:C,0,0,0,0,Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6199,Finance services,Public Company,40101010,0
NYSE:PEP,Soft Drinks ,Soft Drinks ,Bottled and canned soft drinks (2086),Canned fruits and vegetables (2033),Consumer Staples,"Food, Beverage and Tobacco",Beverages,Soft Drinks,5113100,Bottled Water,(Invalid Subsector ID),2080,Beverages,Public Company,30201030,Soft Drink Manufacturing (312111)
NasdaqGS:CSCO,Communications Equipment ,IT Consulting & Other Services ,Telephone and telegraph apparatus (3661),Computer related services (7379),Information Technology,Technology Hardware and Equipment,Communications Equipment,Communications Equipment,8111200,Networking Equipment,(Invalid Subsector ID),3576,Computer communications equipment,Public Company,45201020,Telephone Apparatus Manufacturing (334210)
NYSE:IBM,Application Software ,Data Processing & Outsourced Services ,Prepackaged software (7372),Data processing and preparation (7374),Information Technology,Software and Services,IT Services,IT Consulting and Other Services,8031100,Information Technology (IT) Consulting,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,45102010,Software Publishers (511210)
NYSE:MO,Tobacco ,0,Cigarettes (2111),0,Consumer Staples,"Food, Beverage and Tobacco",Tobacco,Tobacco,5131300,"Chewing, Pipe Tobacco And Snuff",(Invalid Subsector ID),2111,Cigarettes,Public Company,30203010,Tobacco Manufacturing (312230)
NYSE:MA,Data Processing & Outsourced Services ,0,Data processing and preparation (7374),0,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,0,0,(Invalid Subsector ID),6099,Functions related to deposit banking,Public Company,45102020,"Data Processing, Hosting, and Related Services (518210)"
NYSE:MCD,0,0,0,0,Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,4214200,Limited Service Restaurants,(Invalid Subsector ID),5812,Eating places,Public Company,25301040,0
NYSE:MMM,Health Care Equipment ,Health Care Supplies ,Surgical and medical instruments (3841),Surgical appliances and supplies (3842),Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,0,0,(Invalid Subsector ID),2670,"Converted paper and paperboard products, except containers and boxes",Public Company,20105010,Surgical and Medical Instrument Manufacturing (339112)
NasdaqGS:AMGN,Pharmaceuticals ,0,Pharmaceutical preparations (2834),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2836,Biological products except diagnostic,Public Company,35201010,Pharmaceutical Preparation Manufacturing (325412)
NasdaqGS:KHC,Packaged Foods & Meats ,0,Food and kindred products (2000),Frozen fruits and vegetables (2037),Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,5113700,Coffee And Tea,(Invalid Subsector ID),2030,"Canned, frozen, and preserved fruits, vegetables, and food specialties",Public Company,30202030,Food Manufacturing (311)
NYSE:BA,Aerospace & Defense ,Aerospace & Defense ,Aircraft (3721),"Airports, flying fields, and services (4581)",Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,9551739,Aerospace and Defense Maintenance and Services,(Invalid Subsector ID),3721,Aircraft,Public Company,20101010,Aircraft Manufacturing (336411)
NYSE:ABBV,Biotechnology ,Pharmaceuticals ,Biological products except diagnostic (2836),Pharmaceutical preparations (2834),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2836,Biological products except diagnostic,Public Company,35201010,Pharmaceutical Preparation Manufacturing (325412)
NYSE:HON,Electronic Equipment & Instruments ,Electronic Equipment & Instruments ,"Measuring, analyzing, and control instruments; photographic, medical, and optical goods; and watches and clocks (3800)",Measuring and controlling devices  (3829),Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,0,0,(Invalid Subsector ID),9997,Conglomerates,Public Company,20105010,Electromedical and Electrotherapeutic Apparatus Manufacturing (334510)
NYSE:SLB,Oil & Gas Equipment & Services ,0,Oil and gas field services (1380),0,Energy,Energy,Energy Equipment and Services,Oil and Gas Equipment and Services,1022200,Oil and Gas Field Services,(Invalid Subsector ID),1389,Oil and gas field services,Public Company,10101020,Support Activities for Oil and Gas Operations (213112)
TSX:RY,Investment Banking & Brokerage ,Consumer Finance ,Security brokers and dealers (6211),Functions related to deposit banking (6099),Financials,Banks,Banks,Diversified Banks,7012300,Foreign Banking and Branches Of Foreign Banks,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,Investment Banking and Securities Dealing (523110)
NYSE:UTX,Industrial Machinery ,Diversified Support Services ,"Construction, mining, and materials handling machinery and equipment (3530)",Miscellaneous repair services (7600),Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,9551739,Aerospace and Defense Maintenance and Services,(Invalid Subsector ID),3724,Aircraft engines and engine parts,Public Company,20101010,Material Handling Equipment Manufacturing (33392)
NYSE:RAI,Tobacco ,Distributors ,Chewing and smoking tobacco (2131),Nondurable goods - wholesale (5100),Consumer Staples,"Food, Beverage and Tobacco",Tobacco,Tobacco,5131300,"Chewing, Pipe Tobacco And Snuff",(Invalid Subsector ID),2111,Cigarettes,Public Company,30203010,Tobacco Manufacturing (312230)
NasdaqGS:CELG,Biotechnology ,Pharmaceuticals ,Biological products except diagnostic (2836),Pharmaceutical preparations (2834),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35201010,Biological Product (except Diagnostic) Manufacturing (325414)
NYSE:UPS,Marine ,Air Freight & Logistics ,Water transportation (4400),"Courier services, except by air (4215)",Industrials,Transportation,Air Freight and Logistics,Air Freight and Logistics,3211100,Air Courier Services,(Invalid Subsector ID),4210,"Trucking and courier services, except air",Public Company,20301010,Water Transportation (483)
NasdaqGS:PCLN,Internet and Direct Marketing Retail ,Internet Software & Services ,Arrangement of passenger transportation (4720),Information retrieval services (7375),Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail,4212204,Online Hotel Booking Services,(Invalid Subsector ID),7370,"Computer programming, data processing, and other computer related services",Public Company,25502020,Travel Arrangement and Reservation Services (5615)
NYSE:BMY,Personal Products ,0,Pharmaceutical preparations (2834),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121100,Pharmaceutical Products,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical Preparation Manufacturing (325412)
NasdaqGS:SBUX,Restaurants ,Packaged Foods & Meats ,Eating and drinking places (5810),Roasted coffee (2095),Consumer Discretionary,Consumer Services,"Hotels, Restaurants and Leisure",Restaurants,4214900,Beverage and Tobacco Bars,(Invalid Subsector ID),5812,Eating places,Public Company,25301040,Food Services and Drinking Places (722)
NYSE:GS,Investment Banking & Brokerage ,Investment Banking & Brokerage ,Security brokers and dealers (6211),"Security and commodity brokers, dealers, exchanges, and services (6200)",Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage,7132100,Investment Banking,(Invalid Subsector ID),6211,Security brokers and dealers,Public Company,40203020,Investment Banking and Securities Dealing (523110)
NasdaqGS:WBA,Drug Retail ,Specialty Stores ,Drug stores and proprietary stores (5912),Miscellaneous retail stores (5999),Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Drug Retail,5021100,Drug Stores and Pharmacies,(Invalid Subsector ID),5912,Drug stores and proprietary stores,Public Company,30101010,Pharmacies and Drug Stores (446110)
NasdaqGS:QCOM,Semiconductors ,Systems Software ,Semiconductors and related devices (3674),Prepackaged software (7372),Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,8212200,Digital,(Invalid Subsector ID),3674,Semiconductors and related devices,Public Company,45301020,Semiconductor and Related Device Manufacturing (334413)
NYSE:UNP,Trucking ,0,"Trucking and courier services, except air (4210)",0,Industrials,Transportation,Road and Rail,Railroads,3241200,Railroad Transportation of Freight,(Invalid Subsector ID),4011,"Railroads, line-haul operating",Public Company,20304010,Truck Transportation (484)
NYSE:USB,Diversified Banks ,Specialized Finance ,Commercial banks (6029),Business credit institutions (6150),Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,Commercial Banking (522110)
TSX:TD,0,0,0,0,Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,0
NYSE:NKE,Footwear ,"Apparel, Accessories & Luxury Goods ","Men's footwear, except athletic (3143)",Apparel and other finished products made from fabrics and similar materials (2300),Consumer Discretionary,Consumer Durables and Apparel,"Textiles, Apparel and Luxury Goods",Footwear,4132410,Athletic Footwear,(Invalid Subsector ID),3021,Rubber and plastics footwear,Public Company,25203020,Footwear Manufacturing (316210)
NasdaqGS:CHTR,Cable & Satellite ,Alternative Carriers ,Cable and other pay Television services (4841),"Telephone communications, except radio (4813)",Consumer Discretionary,Media,Media,Cable and Satellite,4312200,Cable And Other Pay Television,(Invalid Subsector ID),4841,Cable and other pay Television services,Public Company,25401025,Cable and Other Subscription Programming (515210)
NasdaqGS:GILD,Biotechnology ,Pharmaceuticals ,Biological products except diagnostic (2836),Pharmaceutical preparations (2834),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Biotechnology,Biotechnology,0,0,(Invalid Subsector ID),2836,Biological products except diagnostic,Public Company,35201010,Biological Product (except Diagnostic) Manufacturing (325414)
NasdaqGS:NVDA,Semiconductors ,0,Semiconductors and related devices (3674),0,Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,8212200,Digital,(Invalid Subsector ID),3674,Semiconductors and related devices,Public Company,45301020,Semiconductor and Related Device Manufacturing (334413)
NYSE:LLY,Pharmaceuticals ,0,Pharmaceutical preparations (2834),0,Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Pharmaceuticals,Pharmaceuticals,6121100,Pharmaceutical Products,(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35202010,Pharmaceutical Preparation Manufacturing (325412)
NYSE:LMT,Aerospace & Defense ,0,Aircraft and parts (3720),0,Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,9551739,Aerospace and Defense Maintenance and Services,(Invalid Subsector ID),3760,Guided missiles and space vehicles and parts,Public Company,20101010,Other Aircraft Parts and Auxiliary Equipment Manufacturing (336413)
NasdaqGS:TXN,Semiconductors ,Semiconductors ,Semiconductors and related devices (3674),Semiconductors and related devices (3674),Information Technology,Semiconductors and Semiconductor Equipment,Semiconductors and Semiconductor Equipment,Semiconductors,8212100,Analog and Mixed Signal,(Invalid Subsector ID),3674,Semiconductors and related devices,Public Company,45301020,Semiconductor and Related Device Manufacturing (334413)
NYSE:CVS,0,0,0,0,Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Drug Retail,5021100,Drug Stores and Pharmacies,(Invalid Subsector ID),5912,Drug stores and proprietary stores,Public Company,30101010,0
NYSE:MS,0,0,0,0,Financials,Diversified Financials,Capital Markets,Investment Banking and Brokerage,7132100,Investment Banking,(Invalid Subsector ID),6211,Security brokers and dealers,Public Company,40203020,0
NYSE:TWX,Advertising ,Internet Software & Services ,Advertising agencies (7311),Information retrieval services (7375),Consumer Discretionary,Media,Media,Movies and Entertainment,4313200,Entertainment Production Companies,(Invalid Subsector ID),4888,Diversified Multi-Media,Public Company,25401030,Advertising Agencies (541810)
NYSE:ABT,0,0,0,0,Healthcare,Healthcare Equipment and Services,Healthcare Equipment and Supplies,Healthcare Equipment,6021125,"Medical Testing, Analyzing, and Diagnostic Equipment",(Invalid Subsector ID),2834,Pharmaceutical preparations,Public Company,35101010,0
NasdaqGS:COST,Hypermarkets & Super Centers ,"Hotels, Resorts & Cruise Lines ",Miscellaneous general merchandise stores (5399),Arrangement of passenger transportation (4720),Consumer Staples,Food and Staples Retailing,Food and Staples Retailing,Hypermarkets and Super Centers,5024100,Warehouse Clubs,(Invalid Subsector ID),5399,Miscellaneous general merchandise stores,Public Company,30101040,Warehouse Clubs and Supercenters (452910)
NYSE:DOW,0,0,0,0,Materials,Materials,Chemicals,Diversified Chemicals,0,0,(Invalid Subsector ID),2821,Plastics materials and resins,Public Company,15101020,0
NYSE:LOW,Home Improvement Retail ,Internet and Direct Marketing Retail ,"Building materials, hardware, garden supply, and mobile home dealers (5200)",Nonstore retailers (5960),Consumer Discretionary,Retailing,Specialty Retail,Home Improvement Retail,4443100,Building Product and Home Supply Stores,(Invalid Subsector ID),5211,Lumber and other building materials,Public Company,25504030,Building Material and Supplies Dealers (4441)
NasdaqGS:MDLZ,Packaged Foods & Meats ,Soft Drinks ,Food and kindred products (2000),Flavoring extracts and syrups (2087),Consumer Staples,"Food, Beverage and Tobacco",Food Products,Packaged Foods and Meats,5122700,Bread and Bakery Products,(Invalid Subsector ID),2000,Food and kindred products,Public Company,30202030,Food Manufacturing (311)
NYSE:AXP,0,0,0,0,Financials,Diversified Financials,Consumer Finance,Consumer Finance,7121100,Personal Credit Agencies,(Invalid Subsector ID),6141,Personal credit institutions,Public Company,40202010,0
NasdaqGS:ADBE,Application Software ,0,Prepackaged software (7372),0,Information Technology,Software and Services,Software,Application Software,8041250,Collaboration Tools,(Invalid Subsector ID),7372,Prepackaged software,Public Company,45103010,Software Publishers (511210)
NasdaqGS:NFLX,Internet and Direct Marketing Retail ,0,Nonstore retailers (5960),0,Consumer Discretionary,Retailing,Internet and Direct Marketing Retail,Internet and Direct Marketing Retail,4422001,Online Specialty Retail,(Invalid Subsector ID),7841,Video tape rental,Public Company,25502020,Electronic Shopping (454111)
NYSE:TMO,Electronic Equipment & Instruments ,Health Care Technology ,"Measuring, analyzing, and control instruments; photographic, medical, and optical goods; and watches and clocks (3800)",Prepackaged software (7372),Healthcare,"Pharmaceuticals, Biotechnology and Life Sciences",Life Sciences Tools and Services,Life Sciences Tools and Services,0,0,(Invalid Subsector ID),3826,Analytical instruments,Public Company,35203010,Electromedical and Electrotherapeutic Apparatus Manufacturing (334510)
NYSE:DD,Agricultural Products ,Fertilizers & Agricultural Chemicals ,Cash grains (110),Nitrogenous fertilizers (2873),Materials,Materials,Chemicals,Diversified Chemicals,0,0,(Invalid Subsector ID),2820,"Plastic material, synthetic resins, synthetic rubber, cellulose, and other manmade fibers, except glass",Public Company,15101020,Oilseed and Grain Farming (1111)
TSX:BNS,Diversified Banks ,Asset Management & Custody Banks ,Commercial banks (6029),Investment offices (6720),Financials,Banks,Banks,Diversified Banks,0,0,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101010,Commercial Banking (522110)
NYSE:CL,Packaged Foods & Meats ,Pharmaceuticals ,Prepared feeds (2048),Pharmaceutical preparations (2834),Consumer Staples,Household and Personal Products,Household Products,Household Products,5211100,Cleaning Products,(Invalid Subsector ID),2844,Toilet preparations,Public Company,30301010,Other Animal Food Manufacturing (311119)
NYSE:NEE,Renewable Electricity ,Renewable Electricity ,Electric services (4911),Electric services (4911),Utilities,Utilities,Electric Utilities,Electric Utilities,9521700,Electric Power Distribution,(Invalid Subsector ID),4911,Electric services,Public Company,55101010,Electric Power Generation (22111)
TSX:ENB,Oil & Gas Storage & Transportation ,Oil & Gas Storage & Transportation ,"Pipelines, except natural gas (4610)",Natural gas transmission (4922),Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Storage and Transportation,1033307,Natural Gas Pipelines,(Invalid Subsector ID),4924,Natural gas distribution,Public Company,10102040,Pipeline Transportation of Crude Oil (486110)
NYSE:CRM,Application Software ,IT Consulting & Other Services ,Prepackaged software (7372),Computer related services (7379),Information Technology,Software and Services,Software,Application Software,8041350,Enterprise Software,(Invalid Subsector ID),7372,Prepackaged software,Public Company,45103010,Software Publishers (511210)
NYSE:CAT,0,0,0,0,Industrials,Capital Goods,Machinery,Construction Machinery and Heavy Trucks,3071100,Construction Machinery and Equipment,(Invalid Subsector ID),3531,Construction machinery,Public Company,20106010,0
NasdaqGS:PYPL,Data Processing & Outsourced Services ,0,Business services (7389),0,Information Technology,Software and Services,IT Services,Data Processing and Outsourced Services,8021233,Internet Merchant Services,(Invalid Subsector ID),7374,Data processing and preparation,Public Company,45102020,"Data Processing, Hosting, and Related Services (518210)"
NYSE:GD,Aerospace & Defense ,Aerospace & Defense ,Aircraft (3721),"Airports, flying fields, and services (4581)",Industrials,Capital Goods,Aerospace and Defense,Aerospace and Defense,9551739,Aerospace and Defense Maintenance and Services,(Invalid Subsector ID),3721,Aircraft,Public Company,20101010,Aircraft Manufacturing (336411)
NYSE:DUK,Real Estate Operating Companies ,0,Real estate operators (except developers) and lessors (6510),0,Utilities,Utilities,Electric Utilities,Electric Utilities,9521700,Electric Power Distribution,(Invalid Subsector ID),4931,Electric and other services combined,Public Company,55101010,Lessors of Real Estate (5311)
NYSE:EPD,0,0,0,0,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Storage and Transportation,1033307,Natural Gas Pipelines,(Invalid Subsector ID),1311,Crude petroleum and natural gas,Public Company,10102040,0
NYSE:COP,0,0,0,0,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,1032200,Oil and Gas Production,(Invalid Subsector ID),1311,Crude petroleum and natural gas,Public Company,10102020,0
NYSE:PNC,Asset Management & Custody Banks ,Investment Banking & Brokerage ,Investment offices (6720),Security brokers and dealers (6211),Financials,Banks,Banks,Regional Banks,7012200,National and State Commercial Banks,(Invalid Subsector ID),6020,Commercial banks,Public Company,40101015,Other Financial Vehicles (525990)
NYSE:DHR,Electronic Equipment & Instruments ,Industrial Machinery ,"Measuring, analyzing, and control instruments; photographic, medical, and optical goods; and watches and clocks (3800)",General industrial machinery (3569),Healthcare,Healthcare Equipment and Services,Healthcare Equipment and Supplies,Healthcare Equipment,6021400,Dental Care Equipment,(Invalid Subsector ID),3826,Analytical instruments,Public Company,35101010,Electromedical and Electrotherapeutic Apparatus Manufacturing (334510)
NYSE:AIG,0,0,0,0,Financials,Insurance,Insurance,Multi-line Insurance,0,0,(Invalid Subsector ID),6331,"Fire, marine, and casualty insurance",Public Company,40301030,0
TSX:CNR,Railroads ,Marine ,"Railroads, line-haul operating (4011)",Water transportation (4400),Industrials,Transportation,Road and Rail,Railroads,3241200,Railroad Transportation of Freight,(Invalid Subsector ID),4011,"Railroads, line-haul operating",Public Company,20304010,Rail Transportation (48211)
NYSE:MET,0,0,0,0,Financials,Insurance,Insurance,Life and Health Insurance,7212200,Health and Medical Insurance,(Invalid Subsector ID),6311,Life insurance,Public Company,40301020,0
NYSE:EOG,0,0,0,0,Energy,Energy,"Oil, Gas and Consumable Fuels",Oil and Gas Exploration and Production,1032200,Oil and Gas Production,(Invalid Subsector ID),1311,Crude petroleum and natural gas,Public Company,10102020,0
